title,type,rating
Inception,Sci-Fi,8.8
Interstellar,Sci-Fi,8.7
The Godfather,Crime,9.2
The Dark Knight,Action,9.0
The Matrix,Sci-Fi,8.7
Parasite,Drama,8.6
Transformers,Action,7.1
